"Aldgate East",1
"Arnos Grove",4
"Baker Street",1
"Barons Court",2
"Belsize Park",2
"Bethnal Green",2
"Blackhorse Road",3
"Bond Street",1
"Boston Manor",4
"Bounds Green","3 & 4"
"Bow Road",2
"Brent Cross",3
"Bromley-by-Bow","2 & 3"
"Buckhurst Hill",5
"Burnt Oak",4
"Caledonian Road",2
"Camden Town",2
"Canada Water",2
"Canary Wharf",2
"Canning Town","2 & 3"
"Cannon Street",1
"Canons Park",5
"Chalfont & Latimer",8
"Chalk Farm",2
"Chancery Lane",1
"Charing Cross",1
"Chiswick Park",3
"Clapham Common",2
"Clapham North",2
"Clapham South","2 & 3"
"Colliers Wood",3
"Covent Garden",1
"Dagenham East",5
"Dagenham Heathway",5
"Dollis Hill",3
"Ealing Broadway",3
"Ealing Common",3
"Earl's Court","1 & 2"
"East Acton",2
"East Finchley",3
"East Ham","3 & 4"
"East Putney","2 & 3"
"Edgware Road",1
"Edgware Road",1
"Elephant & Castle","1 & 2"
"Elm Park",6
"Euston Square",1
"Finchley Central",4
"Finchley Road",2
"Finsbury Park",2
"Fulham Broadway",2
"Gants Hill",4
"Gloucester Road",1
"Golders Green",3
"Goldhawk Road",2
"Goodge Street",1
"Grange Hill",4
"Great Portland Street",1
"Green Park",1
"Hanger Lane",3
"Harrow & Wealdstone",5
"Harrow-on-the-Hill",5
"Hatton Cross","5 & 6"
"Heathrow Terminal 4",6
"Heathrow Terminal 5",6
"Heathrow Terminals 2 & 3",6
"Hendon Central","3 & 4"
"High Barnet",5
"High Street Kensington",1
"Highbury & Islington",2
"Holland Park",2
"Holloway Road",2
"Hounslow Central",4
"Hounslow East",4
"Hounslow West",5
"Hyde Park Corner",1
"Kensal Green",2
"Kensington (Olympia)",2
"Kentish Town",2
"Kew Gardens","3 & 4"
"Kilburn Park",2
"King's Cross St. Pancras",1
"Ladbroke Grove",2
"Lambeth North",1
"Lancaster Gate",1
"Latimer Road",2
"Leicester Square",1
"Liverpool Street",1
"London Bridge",1
"Maida Vale",2
"Manor House","2 & 3"
"Mansion House",1
"Marble Arch",1
"Mile End",2
"Mill Hill East",4
"Moor Park","6 & 7"
"Mornington Crescent",2
"Newbury Park",4
"North Acton","2 & 3"
"North Ealing",3
"North Greenwich","2 & 3"
"North Harrow",5
"North Wembley",4
"Northwick Park",4
"Northwood Hills",6
"Notting Hill Gate","1 & 2"
"Old Street",1
"Oxford Circus",1
"Park Royal",3
"Parsons Green",2
"Piccadilly Circus",1
"Preston Road",4
"Putney Bridge",2
"Queen's Park",2
"Ravenscourt Park",2
"Rayners Lane",5
"Regent's Park",1
"Roding Valley",4
"Royal Oak",2
"Ruislip Gardens",5
"Ruislip Manor",6
"Russell Square",1
"Seven Sisters",3
"Shepherd's Bush Market",2
"Shepherd's Bush",2
"Sloane Square",1
"South Ealing",3
"South Harrow",5
"South Kensington",1
"South Kenton",4
"South Ruislip",5
"South Wimbledon","3 & 4"
"South Woodford",4
"St. James's Park",1
"St. John's Wood",2
"St. Paul's",1
"Stamford Brook",2
"Stepney Green",2
"Stonebridge Park",3
"Sudbury Hill",4
"Sudbury Town",4
"Swiss Cottage",2
"Theydon Bois",6
"Tooting Bec",3
"Tooting Broadway",3
"Tottenham Court Road",1
"Tottenham Hale",3
"Totteridge & Whetstone",4
"Tower Hill",1
"Tufnell Park",2
"Turnham Green","2 & 3"
"Turnpike Lane",3
"Upminster Bridge",6
"Upton Park",3
"Walthamstow Central",3
"Warren Street",1
"Warwick Avenue",2
"Wembley Central",4
"Wembley Park",4
"West Acton",3
"West Brompton",2
"West Finchley",4
"West Ham","2 & 3"
"West Hampstead",2
"West Harrow",5
"West Kensington",2
"West Ruislip",6
"Westbourne Park",2
"White City",2
"Willesden Green","2 & 3"
"Willesden Junction","2 & 3"
"Wimbledon Park",3
"Wood Green",3
"Wood Lane",2
"Woodside Park",4
Aldgate,1
Alperton,4
Amersham,9
Angel,1
Archway,"2 & 3"
Arsenal,2
Balham,3
Bank,1
Barbican,1
Barking,4
Barkingside,4
Bayswater,1
Becontree,5
Bermondsey,2
Blackfriars,1
Borough,1
Brixton,2
C"Acton Town",3
Chesham,9
Chigwell,4
Chorleywood,7
Cockfosters,5
Colindale,4
Croxley,7
Debden,6
Eastcote,5
Edgware,5
Embankment,1
Epping,6
Euston,1
Fairlop,4
Farringdon,1
Greenford,4
Gunnersbury,3
Hainault,4
Hammersmith,2
Hammersmith,2
Hampstead,"2 & 3"
Harlesden,3
Highgate,3
Hillingdon,6
Holborn,1
Hornchurch,6
Ickenham,6
Kennington,2
Kenton,4
Kilburn,2
Kingsbury,4
Knightsbridge,1
Leyton,3
Leytonstone,"3 & 4"
Loughton,6
Marylebone,1
Monument,1
Moorgate,1
Morden,4
Neasden,3
Northfields,3
Northolt,5
Northwood,6
Oakwood,5
Osterley,4
Oval,2
Paddington,1
Paddington,1
Perivale,4
Pimlico,1
Pinner,5
Plaistow,3
Queensbury,4
Queensway,1
Redbridge,4
Richmond,4
Rickmansworth,7
Ruislip,6
Snaresbrook,4
Southfields,3
Southgate,4
Southwark,1
Stanmore,5
Stockwell,2
Stratford,"2 & 3"
Temple,1
Upminster,6
Upney,4
Uxbridge,6
Vauxhall,"1 & 2"
Victoria,1
Wanstead,4
Waterloo,1
Watford,7
Westminster,1
Whitechapel,2
Wimbledon,3
Woodford,4
